ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
0f638ffc-20b3-4e8c-8f0a-0d034902bddd|Armored Griffin|{3}{W}|Creature - Griffin|2|3|Flying, vigilance|Planechase 2012|Uncommon||Brad Rigney|1|MID: 271234<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/1/armored-griffin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271234&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0f638ffc-20b3-4e8c-8f0a-0d034902bddd.jpg?1575571386, GATHERERID=271234}
441012c4-b9f8-40dc-b0be-907d03573360|Auramancer|{2}{W}|Creature - Human Wizard|2|2|When this creature enters, you may return target enchantment card from your graveyard to your hand.|Planechase 2012|Common||Rebecca Guay|2|MID: 271171<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/2/auramancer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271171&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/441012c4-b9f8-40dc-b0be-907d03573360.jpg?1575571394, GATHERERID=271171}
28c2d4ee-c3cf-4faf-97ef-415d0253fd72|Auratouched Mage|{5}{W}|Creature - Human Wizard|3|3|When this creature enters, search your library for an Aura card that could enchant it. If this creature is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle.|Planechase 2012|Uncommon||Jeff Miracola|3|MID: 271207<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/3/auratouched-mage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271207&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/28c2d4ee-c3cf-4faf-97ef-415d0253fd72.jpg?1575571401, GATHERERID=271207}
36895e57-e355-403f-ba52-1d444ca5ffed|Cage of Hands|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.<br>{1}{W}: Return this Aura to its owner's hand.|Planechase 2012|Common||Mark Tedin|4|MID: 271205<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/4/cage-of-hands?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271205&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/36895e57-e355-403f-ba52-1d444ca5ffed.jpg?1575571408, GATHERERID=271205}
5d80e221-a996-428f-817a-c86e4b3f73d0|Celestial Ancient|{3}{W}{W}|Creature - Elemental|3|3|Flying<br>Whenever you cast an enchantment spell, put a +1/+1 counter on each creature you control.|Planechase 2012|Rare||Mark Tedin|5|MID: 271236<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/5/celestial-ancient?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271236&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/d/5d80e221-a996-428f-817a-c86e4b3f73d0.jpg?1575571415, GATHERERID=271236}
fe83a23c-723e-4b34-a121-a10fc0efe1b5|Felidar Umbra|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has lifelink.<br>{1}{W}: Attach this Aura to target creature you control.<br>Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)|Planechase 2012|Uncommon||Christopher Moeller|6|MID: 270736<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/6/felidar-umbra?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270736&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fe83a23c-723e-4b34-a121-a10fc0efe1b5.jpg?1575571421, GATHERERID=270736}
f1a0e932-f93b-4799-9075-9257192d7cf5|Ghostly Prison|{2}{W}|Enchantment|||Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.|Planechase 2012|Uncommon||Wayne England|7|MID: 275264<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/7/ghostly-prison?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=275264&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f1a0e932-f93b-4799-9075-9257192d7cf5.jpg?1575571428, GATHERERID=275264}
ea926378-5434-409e-906d-4c429703a774|Hyena Umbra|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 and has first strike.<br>Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)|Planechase 2012|Common||Howard Lyon|8|MID: 271150<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/8/hyena-umbra?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271150&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/ea926378-5434-409e-906d-4c429703a774.jpg?1654188186, GATHERERID=271150}
b4539575-a8b9-4745-84d2-a0fbd6d12794|Kor Spiritdancer|{1}{W}|Creature - Kor Wizard|0|2|This creature gets +2/+2 for each Aura attached to it.<br>Whenever you cast an Aura spell, you may draw a card.|Planechase 2012|Rare||Scott Chou|9|MID: 271151<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/9/kor-spiritdancer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271151&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/4/b4539575-a8b9-4745-84d2-a0fbd6d12794.jpg?1658417470, GATHERERID=271151}
08361019-31cb-43a3-8f00-1c6ff6934533|Mammoth Umbra|{4}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3 and has vigilance.<br>Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)|Planechase 2012|Uncommon||Howard Lyon|10|MID: 271152<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/pc2/10/mammoth-umbra?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271152&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/08361019-31cb-43a3-8f00-1c6ff6934533.jpg?1575571461, GATHERERID=271152}
