ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
685815|Abundant Maw|{8}|Creature - Eldrazi Leech|6|4|Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When you cast this spell, target opponent loses 3 life and you gain 3 life.|Innistrad Remastered|Common||Greg Staples|1|MID: 685815<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/1/abundant-maw?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5620c22-910c-4d33-a5e9-4c4eac8c6304.jpg?1737775508}
685816|Decimator of the Provinces|{10}|Creature - Eldrazi Boar|7|7|Emerge {6}{G}{G}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When you cast this spell, creatures you control get +2/+2 and gain trample until end of turn.<br>Trample, haste|Innistrad Remastered|Rare||Svetlin Velinov|2|MID: 685816<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/2/decimator-of-the-provinces?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80fc51aa-64ca-4236-8cdb-670533b75f59.jpg?1736467426}
685817|Distended Mindbender|{8}|Creature - Eldrazi Insect|5|5|Emerge {5}{B}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When you cast this spell, target opponent reveals their hand. You choose from it a nonland card with mana value 3 or less and a card with mana value 4 or greater. That player discards those cards.|Innistrad Remastered|Rare||Yohann Schepacz|3|MID: 685817<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/3/distended-mindbender?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c1980d6-1daa-44f0-a6b5-0458d84894db.jpg?1736467428}
685818|Elder Deep-Fiend|{8}|Creature - Eldrazi Octopus|5|6|Flash<br>Emerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When you cast this spell, tap up to four target permanents.|Innistrad Remastered|Rare||Jason Felix|4|MID: 685818<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/4/elder-deep-fiend?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/10532d06-94e3-47bc-a036-7535be05be98.jpg?1736467432}
685819|Emrakul, the Promised End|{13}|Legendary Creature - Eldrazi|13|13|This spell costs {1} less to cast for each card type among cards in your graveyard.<br>When you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn.<br>Flying, trample, protection from instants|Innistrad Remastered|Mythic||Jaime Jones|5|MID: 685819<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/5/emrakul-the-promised-end?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71911392-42b0-4b6d-baf7-918a4bd3b924.jpg?1736467435}
685820|It of the Horrid Swarm|{8}|Creature - Eldrazi Insect|4|4|Emerge {6}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When you cast this spell, create two 1/1 green Insect creature tokens.|Innistrad Remastered|Common||Jason Felix|6|MID: 685820<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/6/it-of-the-horrid-swarm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba983caf-72b4-419e-84dc-1ad0215a865c.jpg?1736467438}
685821|Wretched Gryff|{7}|Creature - Eldrazi Hippogriff|3|4|Emerge {5}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When you cast this spell, draw a card.<br>Flying|Innistrad Remastered|Common||Darek Zabrocki|7|MID: 685821<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/7/wretched-gryff?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/2/722b519a-715d-4393-9d3c-97f329896ef4.jpg?1736467441}
685822|Ambitious Farmhand // Seasoned Cathar|{1}{W}|Creature - Human Peasant|1|1|When this creature enters, you may search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.<br>Coven — {1}{W}{W}: Transform this creature. Activate only if you control three or more creatures with different powers.|Innistrad Remastered|Uncommon||Bryan Sola|8|MID: 685822<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/8/ambitious-farmhand-seasoned-cathar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/36cb9b12-98a3-4770-9ae0-a3b02f057c2e.jpg?1736467448, FLIPID=-685822}
-685822|Ambitious Farmhand // Seasoned Cathar (transform)||Creature - Human Knight|3|3|Lifelink|Innistrad Remastered|Uncommon||Bryan Sola|8b|MID: 685822<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/8/ambitious-farmhand-seasoned-cathar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/3/6/36cb9b12-98a3-4770-9ae0-a3b02f057c2e.jpg?1736467448, FLIPID=685822}
685824|Angelic Purge|{2}{W}|Sorcery|||As an additional cost to cast this spell, sacrifice a permanent.<br>Exile target artifact, creature, or enchantment.|Innistrad Remastered|Common||Zezhou Chen|9|MID: 685824<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/inr/9/angelic-purge?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed2fe361-2885-4fc9-a10f-960cc1ac0fbf.jpg?1736467455}
