ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
e29fefaf-0e3b-47a5-8fa3-c3053506f662|Cao Cao, Lord of Wei|{3}{B}{B}|Legendary Creature - Human Soldier|3|3|{T}: Target opponent discards two cards. Activate only during your turn, before attackers are declared.|From the Vault: Legends|Mythic||Gao Jianzhang|1|MID: 244670<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/1/cao-cao-lord-of-wei?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244670&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e29fefaf-0e3b-47a5-8fa3-c3053506f662.jpg?1568989343, GATHERERID=244670}
59e31568-e630-45c1-8c65-f757acd307e2|Captain Sisay|{2}{G}{W}|Legendary Creature - Human Soldier|2|2|{T}: Search your library for a legendary card, reveal that card, put it into your hand, then shuffle.|From the Vault: Legends|Mythic||Ray Lago|2|MID: 244665<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/2/captain-sisay?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244665&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/59e31568-e630-45c1-8c65-f757acd307e2.jpg?1569206412, GATHERERID=244665}
b484e4be-3b13-42d7-8dd3-bc40835410ab|Doran, the Siege Tower|{W}{B}{G}|Legendary Creature - Treefolk Shaman|0|5|Each creature assigns combat damage equal to its toughness rather than its power.|From the Vault: Legends|Mythic||Mark Zug|3|MID: 244674<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/3/doran-the-siege-tower?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244674&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/4/b484e4be-3b13-42d7-8dd3-bc40835410ab.jpg?1569206196, GATHERERID=244674}
d771a73c-f9e8-4fe0-993f-124c3c66ac6b|Kiki-Jiki, Mirror Breaker|{2}{R}{R}{R}|Legendary Creature - Goblin Shaman|2|2|Haste<br>{T}: Create a token that's a copy of target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step.|From the Vault: Legends|Mythic||Steven Belledin|4|MID: 244666<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/4/kiki-jiki-mirror-breaker?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244666&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d771a73c-f9e8-4fe0-993f-124c3c66ac6b.jpg?1569000423, GATHERERID=244666}
bd35667d-ac93-4d04-a45f-59a74b6d0925|Kresh the Bloodbraided|{2}{B}{R}{G}|Legendary Creature - Human Warrior|3|3|Whenever another creature dies, you may put X +1/+1 counters on Kresh, where X is that creature's power.|From the Vault: Legends|Mythic||Steve Argyle|5|MID: 244672<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/5/kresh-the-bloodbraided?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244672&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd35667d-ac93-4d04-a45f-59a74b6d0925.jpg?1569004372, GATHERERID=244672}
77976ca8-7c7a-469c-a99a-808de1b8bf71|Mikaeus, the Lunarch|{X}{W}|Legendary Creature - Human Cleric|0|0|Mikaeus enters with X +1/+1 counters on it.<br>{T}: Put a +1/+1 counter on Mikaeus.<br>{T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control.|From the Vault: Legends|Mythic||Steven Belledin|6|MID: 259296<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/6/mikaeus-the-lunarch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=259296&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/77976ca8-7c7a-469c-a99a-808de1b8bf71.jpg?1569033604, GATHERERID=259296}
54544da6-a24f-4351-aebc-a026c6414f64|Omnath, Locus of Mana|{2}{G}|Legendary Creature - Elemental|1|1|You don't lose unspent green mana as steps and phases end.<br>Omnath gets +1/+1 for each unspent green mana you have.|From the Vault: Legends|Mythic||Mike Bierek|7|MID: 259295<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/7/omnath-locus-of-mana?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=259295&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/54544da6-a24f-4351-aebc-a026c6414f64.jpg?1569113307, GATHERERID=259295}
d0cbcbfa-927a-413e-96c5-ae785a68507e|Oona, Queen of the Fae|{3}{U/B}{U/B}{U/B}|Legendary Creature - Faerie Wizard|5|5|Flying<br>{X}{U/B}: Choose a color. Target opponent exiles the top X cards of their library. For each card of the chosen color exiled this way, create a 1/1 blue and black Faerie Rogue creature token with flying.|From the Vault: Legends|Mythic||Adam Rex|8|MID: 244668<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/8/oona-queen-of-the-fae?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244668&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d0cbcbfa-927a-413e-96c5-ae785a68507e.jpg?1569122971, GATHERERID=244668}
8bbd3493-1466-4d58-b004-00627ceb4a04|Progenitus|{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}|Legendary Creature - Hydra Avatar|10|10|Protection from everything<br>If Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead.|From the Vault: Legends|Mythic||Mike Bierek|9|MID: 244675<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/9/progenitus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244675&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8bbd3493-1466-4d58-b004-00627ceb4a04.jpg?1569122920, GATHERERID=244675}
bd1206d4-ce7d-4504-addc-8182a586087e|Rafiq of the Many|{1}{G}{W}{U}|Legendary Creature - Human Knight|3|3|Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)<br>Whenever a creature you control attacks alone, it gains double strike until end of turn.|From the Vault: Legends|Mythic||Wayne Reynolds|10|MID: 244669<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v11/10/rafiq-of-the-many?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=244669&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd1206d4-ce7d-4504-addc-8182a586087e.jpg?1569176012, GATHERERID=244669}
