ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
27a3bfb6-3843-4bda-bbcb-905e4b351dea|Boros Mastiff|{1}{W}|Creature - Dog|2|2|Battalion — Whenever this creature and at least two other creatures attack, this creature gains lifelink until end of turn. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)|Dragon's Maze|Common||Kev Walker|1|MID: 369028<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/1/boros-mastiff?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=369028&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27a3bfb6-3843-4bda-bbcb-905e4b351dea.jpg?1562902342, GATHERERID=369028}
85d3c012-f356-424d-a960-60e95f395134|Haazda Snare Squad|{2}{W}|Creature - Human Soldier|1|4|Whenever this creature attacks, you may pay {W}. If you do, tap target creature an opponent controls.|Dragon's Maze|Common||David Palumbo|2|MID: 369077<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/2/haazda-snare-squad?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=369077&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/5/85d3c012-f356-424d-a960-60e95f395134.jpg?1562919829, GATHERERID=369077}
773cf2aa-4337-4d14-8a8e-ff8b1fdec1b5|Lyev Decree|{1}{W}|Sorcery|||Detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)|Dragon's Maze|Common||Kev Walker|3|MID: 368965<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/3/lyev-decree?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368965&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/773cf2aa-4337-4d14-8a8e-ff8b1fdec1b5.jpg?1562917039, GATHERERID=368965}
7a977e2d-a2bc-42d1-be7d-36a822c6a66e|Maze Sentinel|{5}{W}|Creature - Elemental|3|6|Vigilance<br>Multicolored creatures you control have vigilance.|Dragon's Maze|Common||Yeong-Hao Han|4|MID: 368976<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/4/maze-sentinel?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368976&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a977e2d-a2bc-42d1-be7d-36a822c6a66e.jpg?1562917657, GATHERERID=368976}
bc9acc14-24e0-4c03-a09a-2afee351f2cc|Renounce the Guilds|{1}{W}|Instant|||Each player sacrifices a multicolored permanent of their choice.|Dragon's Maze|Rare||Daarken|5|MID: 368993<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/5/renounce-the-guilds?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368993&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bc9acc14-24e0-4c03-a09a-2afee351f2cc.jpg?1562930225, GATHERERID=368993}
d7886607-86db-4221-8752-296104aaaef2|Riot Control|{2}{W}|Instant|||You gain 1 life for each creature your opponents control. Prevent all damage that would be dealt to you this turn.|Dragon's Maze|Common||Slawomir Maniak|6|MID: 368979<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/6/riot-control?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368979&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d7886607-86db-4221-8752-296104aaaef2.jpg?1562935300, GATHERERID=368979}
3cd20865-0a9a-4a72-92f9-77c8d6384b46|Scion of Vitu-Ghazi|{3}{W}{W}|Creature - Elemental|4|4|When this creature enters, if you cast it from your hand, create a 1/1 white Bird creature token with flying, then populate. (Create a token that's a copy of a creature token you control.)|Dragon's Maze|Rare||Willian Murai|7|MID: 369092<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/7/scion-of-vitu-ghazi?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=369092&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/c/3cd20865-0a9a-4a72-92f9-77c8d6384b46.jpg?1562906193, GATHERERID=369092}
5fecafab-97f4-40ed-bc43-d186eb2f3af6|Steeple Roc|{4}{W}|Creature - Bird|3|1|Flying, first strike|Dragon's Maze|Common||David Palumbo|8|MID: 368992<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/8/steeple-roc?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368992&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5fecafab-97f4-40ed-bc43-d186eb2f3af6.jpg?1562912688, GATHERERID=368992}
0a3bc6b9-475b-4257-a3bc-1a0b70d45f79|Sunspire Gatekeepers|{3}{W}|Creature - Human Soldier|2|4|When this creature enters, if you control two or more Gates, create a 2/2 white Knight creature token with vigilance.|Dragon's Maze|Common||Chippy|9|MID: 368949<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/9/sunspire-gatekeepers?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368949&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/a/0a3bc6b9-475b-4257-a3bc-1a0b70d45f79.jpg?1562896978, GATHERERID=368949}
3db0074c-95cf-4d15-8fe1-7282803ec757|Wake the Reflections|{W}|Sorcery|||Populate. (Create a token that's a copy of a creature token you control.)|Dragon's Maze|Common||Cynthia Sheppard|10|MID: 369012<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/10/wake-the-reflections?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=369012&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3db0074c-95cf-4d15-8fe1-7282803ec757.jpg?1562906349, GATHERERID=369012}
9c93313b-cf43-47e9-a911-717b4d14b0b5|Aetherling|{4}{U}{U}|Creature - Shapeshifter|4|5|{U}: Exile this creature. Return it to the battlefield under its owner's control at the beginning of the next end step.<br>{U}: This creature can't be blocked this turn.<br>{1}: This creature gets +1/-1 until end of turn.<br>{1}: This creature gets -1/+1 until end of turn.|Dragon's Maze|Rare||Tyler Jacobson|11|MID: 368961<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/dgm/11/aetherling?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368961&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c93313b-cf43-47e9-a911-717b4d14b0b5.jpg?1562924171, GATHERERID=368961}
