ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
559653|Anhelo, the Painter|{U}{B}{R}|Legendary Creature - Vampire Assassin|1|3|Deathtouch<br>The first instant or sorcery spell you cast each turn has casualty 2. (As you cast that spell, you may sacrifice a creature with power 2 or greater. When you do, copy the spell and you may choose new targets for the copy.)|New Capenna Commander|Mythic||Aurore Folny|1|MID: 559653<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/1/anhelo-the-painter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/462e887d-6b91-4b31-9487-2780ffe8943f.jpg?1673481630}
559654|Henzie "Toolbox" Torre|{B}{R}{G}|Legendary Creature - Devil Rogue|3|3|Each creature spell you cast with mana value 4 or greater has blitz. The blitz cost is equal to its mana cost. (You may choose to cast that spell for its blitz cost. If you do, it gains haste and "When this creature dies, draw a card." Sacrifice it at the beginning of the next end step.)<br>Blitz costs you pay cost {1} less for each time you've cast your commander from the command zone this game.|New Capenna Commander|Mythic||Johannes Voss|2|MID: 559654<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/2/henzie-toolbox-torre?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/ee228dcc-3170-4c24-80bc-28bcee07cb43.jpg?1673481644}
559655|Kamiz, Obscura Oculus|{1}{W}{U}{B}|Legendary Creature - Octopus Rogue|2|4|Whenever you attack, target attacking creature can't be blocked this turn. It connives. Then choose another attacking creature with lesser power. That creature gains double strike until end of turn. (To have a creature connive, draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)|New Capenna Commander|Mythic||Chris Rallis|3|MID: 559655<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/3/kamiz-obscura-oculus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74b8ae28-e169-46be-8180-ebdaf80efd81.jpg?1673481656}
559656|Kitt Kanto, Mayhem Diva|{1}{R}{G}{W}|Legendary Creature - Cat Bard Druid|3|3|When Kitt Kanto enters, create a 1/1 green and white Citizen creature token.<br>At the beginning of combat on each player's turn, you may tap two untapped creatures you control. When you do, target creature that player controls gets +2/+2 and gains trample until end of turn. Goad that creature.|New Capenna Commander|Mythic||Fariba Khamseh|4|MID: 559656<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/4/kitt-kanto-mayhem-diva?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9b9850d6-49d3-45ec-9a45-75aa0fce9ee5.jpg?1673481666}
559657|Perrie, the Pulverizer|{1}{G}{W}{U}|Legendary Creature - Rhino Soldier|3|3|When Perrie enters, put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)<br>Whenever Perrie attacks, target creature you control gains trample and gets +X/+X until end of turn, where X is the number of different kinds of counters among permanents you control.|New Capenna Commander|Mythic||Joshua Raphael|5|MID: 559657<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/5/perrie-the-pulverizer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d438237b-c6f7-44d0-a3e6-6ec7d7465d33.jpg?1673481677}
559708|The Beamtown Bullies|{1}{B}{R}{G}|Legendary Creature - Ogre Devil Warrior|4|4|Vigilance, haste<br>{T}: Target opponent whose turn it is puts target nonlegendary creature card from your graveyard onto the battlefield under their control. It gains haste. Goad it. At the beginning of the next end step, exile it. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)|New Capenna Commander|Mythic||Tyler Jacobson|6|MID: 559708<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/6/the-beamtown-bullies?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0455a79-15f4-4ea6-87ae-263ce943cfac.jpg?1673481685}
559709|Kros, Defense Contractor|{1}{G}{W}{U}|Legendary Creature - Cat Advisor|2|4|At the beginning of your upkeep, put a shield counter on target creature an opponent controls.<br>Whenever you put one or more counters on a creature you don't control, tap that creature and goad it. It gains trample until your next turn. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)|New Capenna Commander|Mythic||Katerina Ladon|7|MID: 559709<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/7/kros-defense-contractor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12e71d52-5c75-4798-9fe7-8a34a2bf0c9a.jpg?1673481694}
559710|Parnesse, the Subtle Brush|{2}{U}{B}{R}|Legendary Creature - Vampire Wizard|4|4|Whenever you or a permanent you control becomes the target of a spell or ability an opponent controls, counter that spell or ability unless that player pays 4 life.<br>Whenever you copy a spell, up to one target opponent may also copy that spell. They may choose new targets for that copy.|New Capenna Commander|Mythic||Svetlin Velinov|8|MID: 559710<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/8/parnesse-the-subtle-brush?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/36458554-b8b8-4768-a138-eba615b480af.jpg?1673481703}
559711|Phabine, Boss's Confidant|{3}{R}{G}{W}|Legendary Creature - Cat Advisor|3|6|Creature tokens you control have haste.<br>Parley — At the beginning of combat on your turn, each player reveals the top card of their library. For each land card revealed this way, you create a 1/1 green and white Citizen creature token. Then creatures you control get +1/+1 until end of turn for each nonland card revealed this way. Then each player draws a card.|New Capenna Commander|Mythic||Ryan Pancoast|9|MID: 559711<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/9/phabine-bosss-confidant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0f238f6-3578-4e16-bfd0-2f5a452e46fe.jpg?1673481712}
559712|Tivit, Seller of Secrets|{3}{W}{U}{B}|Legendary Creature - Sphinx Rogue|6|6|Flying, ward {3}<br>Council's dilemma — Whenever Tivit enters or deals combat damage to a player, starting with you, each player votes for evidence or bribery. For each evidence vote, investigate. For each bribery vote, create a Treasure token.<br>While voting, you may vote an additional time. (The votes can be for different choices or for the same choice.)|New Capenna Commander|Mythic||Chris Rahn|10|MID: 559712<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ncc/10/tivit-seller-of-secrets?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/9235977e-a999-4ed0-83a3-742be87b13bb.jpg?1673481721}
598125|Aerial Extortionist|{3}{W}{W}|Creature - Bird Soldier|4|3|Flying<br>Whenever this creature enters or deals combat damage to a player, exile up to one target nonland permanent. For as long as that card remains exiled, its owner may cast it.<br>Whenever another player casts a spell from anywhere other than their hand, draw a card.|New Capenna Commander|Rare||Deruchenko Alexander|11|MID: 598125<br>Finishes: nonfoil:<br>https://scryfall.com/card/ncc/11/aerial-extortionist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/219a1d6c-e886-4d5a-a501-d5149fcd1871.jpg?1673481729}
598126|Angelic Sleuth|{2}{W}|Creature - Angel Advisor|2|3|Flying<br>Whenever another permanent you control leaves the battlefield, if it had counters on it, investigate. (Create a Clue artifact token with "{2}, Sacrifice this token: Draw a card.")|New Capenna Commander|Rare||Marc Simonetti|12|MID: 598126<br>Finishes: nonfoil:<br>https://scryfall.com/card/ncc/12/angelic-sleuth?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b0d044fe-9a6b-4994-9fad-2cc52696f90d.jpg?1673481740}
598127|Boss's Chauffeur|{4}{W}|Creature - Elf Citizen|0|0|This creature enters with a number of +1/+1 counters on it equal to one plus the number of other creatures you control.<br>Alliance — Whenever another creature you control enters, put a +1/+1 counter on this creature.<br>When this creature dies, create a 1/1 green and white Citizen creature token for each +1/+1 counter on it.|New Capenna Commander|Rare||Yangtian Li|13|MID: 598127<br>Finishes: nonfoil:<br>https://scryfall.com/card/ncc/13/bosss-chauffeur?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/4/147a0ccf-3408-48c7-b4a8-6d81aed39f18.jpg?1673481750}
