ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
05b4dbe1-12ac-404f-a1fe-96e0b620533e|Bird||Token Creature - Bird|1|1|Flying|Return to Ravnica Tokens|Common||James Ryman|1|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/1/bird?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/05b4dbe1-12ac-404f-a1fe-96e0b620533e.jpg?1562539799}
67d3d039-248a-4eb8-be5c-12959b458fea|Knight||Token Creature - Knight|2|2|Vigilance|Return to Ravnica Tokens|Common||Matt Stewart|2|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/2/knight?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/67d3d039-248a-4eb8-be5c-12959b458fea.jpg?1562539808}
944a40e8-5469-4d8b-b044-67ff3382ec92|Soldier||Token Creature - Soldier|1|1||Return to Ravnica Tokens|Common||Steve Prescott|3|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/3/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/4/944a40e8-5469-4d8b-b044-67ff3382ec92.jpg?1562539814}
89eb9f92-d189-4438-b6fe-cb253055d63e|Assassin||Token Creature - Assassin|1|1|Whenever this creature deals combat damage to a player, that player loses the game.|Return to Ravnica Tokens|Common||Svetlin Velinov|4|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/4/assassin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/89eb9f92-d189-4438-b6fe-cb253055d63e.jpg?1562539812}
84310f84-3e5f-4db8-bff1-16bef64de1a0|Dragon||Token Creature - Dragon|6|6|Flying|Return to Ravnica Tokens|Common||Mark Zug|5|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/5/dragon?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/84310f84-3e5f-4db8-bff1-16bef64de1a0.jpg?1562539809}
577c2e32-deb6-40d9-a050-c2acb5bfc05f|Goblin||Token Creature - Goblin|1|1||Return to Ravnica Tokens|Common||Christopher Moeller|6|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/6/goblin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/577c2e32-deb6-40d9-a050-c2acb5bfc05f.jpg?1562539806}
880d5dc1-ceec-4c5f-93c2-c88b7dbfcac2|Centaur||Token Creature - Centaur|3|3||Return to Ravnica Tokens|Common||Slawomir Maniak|7|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/7/centaur?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/880d5dc1-ceec-4c5f-93c2-c88b7dbfcac2.jpg?1562539811}
a686e51d-e8c3-4ed6-8357-c3d38d56dd09|Ooze||Token Creature - Ooze|*|*||Return to Ravnica Tokens|Common||Marco Nelor|8|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/8/ooze?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a686e51d-e8c3-4ed6-8357-c3d38d56dd09.jpg?1562540213}
1331008a-ae86-4640-b823-a73be766ac16|Rhino||Token Creature - Rhino|4|4|Trample|Return to Ravnica Tokens|Common||Tomasz Jedruszek|9|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/9/rhino?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/1331008a-ae86-4640-b823-a73be766ac16.jpg?1562539801}
e6544989-91b4-4db7-ad44-f1355f1d6e6b|Saproling||Token Creature - Saproling|1|1||Return to Ravnica Tokens|Common||Raoul Vitale|10|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/10/saproling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/6/e6544989-91b4-4db7-ad44-f1355f1d6e6b.jpg?1562540216}
33ee3f6c-5df6-4271-b2f9-86b9afffab7b|Wurm||Token Creature - Wurm|5|5|Trample|Return to Ravnica Tokens|Common||Anthony Palumbo|11|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/11/wurm?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/3/33ee3f6c-5df6-4271-b2f9-86b9afffab7b.jpg?1562539804}
b64c5f80-4676-4860-be0e-20bcf2227405|Elemental||Token Creature - Elemental|8|8|Vigilance|Return to Ravnica Tokens|Common||Yeong-Hao Han|12|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/trtr/12/elemental?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b64c5f80-4676-4860-be0e-20bcf2227405.jpg?1562540215}
