ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_c09991cc-94f0-46e2-9365-37db2f260cf6|Cosmium Blast // Cosmium Blast||Card||||The Lost Caverns of Ixalan Art Series|Common||Caroline Gariba|1|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/1/cosmium-blast-cosmium-blast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c09991cc-94f0-46e2-9365-37db2f260cf6.jpg?1700057957, FLIPID=-scry_c09991cc-94f0-46e2-9365-37db2f260cf6}
-scry_c09991cc-94f0-46e2-9365-37db2f260cf6|Cosmium Blast // Cosmium Blast (art_series)||Card||||The Lost Caverns of Ixalan Art Series|Common||Caroline Gariba|1b|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/1/cosmium-blast-cosmium-blast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/0/c09991cc-94f0-46e2-9365-37db2f260cf6.jpg?1700057957, FLIPID=scry_c09991cc-94f0-46e2-9365-37db2f260cf6}
scry_c0b97937-f549-4a63-b532-f460e10cc2aa|Might of the Ancestors // Might of the Ancestors||Card||||The Lost Caverns of Ixalan Art Series|Common||Aldo Domínguez|2|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/2/might-of-the-ancestors-might-of-the-ancestors?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0b97937-f549-4a63-b532-f460e10cc2aa.jpg?1700057971, FLIPID=-scry_c0b97937-f549-4a63-b532-f460e10cc2aa}
-scry_c0b97937-f549-4a63-b532-f460e10cc2aa|Might of the Ancestors // Might of the Ancestors (art_series)||Card||||The Lost Caverns of Ixalan Art Series|Common||Aldo Domínguez|2b|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/2/might-of-the-ancestors-might-of-the-ancestors?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/0/c0b97937-f549-4a63-b532-f460e10cc2aa.jpg?1700057971, FLIPID=scry_c0b97937-f549-4a63-b532-f460e10cc2aa}
scry_86ea8ec4-6099-4c22-b752-22ba42692dc0|Mischievous Pup // Mischievous Pup||Card||||The Lost Caverns of Ixalan Art Series|Common||Devin Platts|3|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/3/mischievous-pup-mischievous-pup?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/86ea8ec4-6099-4c22-b752-22ba42692dc0.jpg?1700057983, FLIPID=-scry_86ea8ec4-6099-4c22-b752-22ba42692dc0}
-scry_86ea8ec4-6099-4c22-b752-22ba42692dc0|Mischievous Pup // Mischievous Pup (art_series)||Card||||The Lost Caverns of Ixalan Art Series|Common||Devin Platts|3b|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/3/mischievous-pup-mischievous-pup?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/6/86ea8ec4-6099-4c22-b752-22ba42692dc0.jpg?1700057983, FLIPID=scry_86ea8ec4-6099-4c22-b752-22ba42692dc0}
scry_286a563d-e763-413e-b735-461de7408845|Ojer Taq, Deepest Foundation // Ojer Taq, Deepest Foundation||Card||||The Lost Caverns of Ixalan Art Series|Common||Cristi Balanescu|4|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/4/ojer-taq-deepest-foundation-ojer-taq-deepest-foundation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/286a563d-e763-413e-b735-461de7408845.jpg?1700057996, FLIPID=-scry_286a563d-e763-413e-b735-461de7408845}
-scry_286a563d-e763-413e-b735-461de7408845|Ojer Taq, Deepest Foundation // Ojer Taq, Deepest Foundation (art_series)||Card||||The Lost Caverns of Ixalan Art Series|Common||Cristi Balanescu|4b|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/4/ojer-taq-deepest-foundation-ojer-taq-deepest-foundation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/8/286a563d-e763-413e-b735-461de7408845.jpg?1700057996, FLIPID=scry_286a563d-e763-413e-b735-461de7408845}
scry_5c7aefcb-7e6b-40e0-8fb2-d29106edace8|Resplendent Angel // Resplendent Angel||Card||||The Lost Caverns of Ixalan Art Series|Common||Victor Adame Minguez|5|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/5/resplendent-angel-resplendent-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5c7aefcb-7e6b-40e0-8fb2-d29106edace8.jpg?1700058011, FLIPID=-scry_5c7aefcb-7e6b-40e0-8fb2-d29106edace8}
-scry_5c7aefcb-7e6b-40e0-8fb2-d29106edace8|Resplendent Angel // Resplendent Angel (art_series)||Card||||The Lost Caverns of Ixalan Art Series|Common||Victor Adame Minguez|5b|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/5/resplendent-angel-resplendent-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/c/5c7aefcb-7e6b-40e0-8fb2-d29106edace8.jpg?1700058011, FLIPID=scry_5c7aefcb-7e6b-40e0-8fb2-d29106edace8}
scry_78af8e74-cd25-4960-b796-5ae7b81eb61a|Barracks of the Thousand // Barracks of the Thousand||Card||||The Lost Caverns of Ixalan Art Series|Common||Manuel Castañón|6|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/6/barracks-of-the-thousand-barracks-of-the-thousand?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/78af8e74-cd25-4960-b796-5ae7b81eb61a.jpg?1700058025, FLIPID=-scry_78af8e74-cd25-4960-b796-5ae7b81eb61a}
-scry_78af8e74-cd25-4960-b796-5ae7b81eb61a|Barracks of the Thousand // Barracks of the Thousand (art_series)||Card||||The Lost Caverns of Ixalan Art Series|Common||Manuel Castañón|6b|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/6/barracks-of-the-thousand-barracks-of-the-thousand?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/8/78af8e74-cd25-4960-b796-5ae7b81eb61a.jpg?1700058025, FLIPID=scry_78af8e74-cd25-4960-b796-5ae7b81eb61a}
scry_6247b642-3014-428e-aacf-44a91653efed|Warden of the Inner Sky // Warden of the Inner Sky||Card||||The Lost Caverns of Ixalan Art Series|Common||Raoul Vitale|7|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/7/warden-of-the-inner-sky-warden-of-the-inner-sky?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/6247b642-3014-428e-aacf-44a91653efed.jpg?1700058039, FLIPID=-scry_6247b642-3014-428e-aacf-44a91653efed}
-scry_6247b642-3014-428e-aacf-44a91653efed|Warden of the Inner Sky // Warden of the Inner Sky (art_series)||Card||||The Lost Caverns of Ixalan Art Series|Common||Raoul Vitale|7b|Finishes: nonfoil:foil:<br>Promos: stamped:<br>https://scryfall.com/card/alci/7/warden-of-the-inner-sky-warden-of-the-inner-sky?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/2/6247b642-3014-428e-aacf-44a91653efed.jpg?1700058039, FLIPID=scry_6247b642-3014-428e-aacf-44a91653efed}
