ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
580465|Dihada, Binder of Wills|{1}{R}{W}{B}|Legendary Planeswalker - Dihada|||+2: Up to one target legendary creature gains vigilance, lifelink, and indestructible until your next turn.<br>−3: Reveal the top four cards of your library. Put any number of legendary cards from among them into your hand and the rest into your graveyard. Create a Treasure token for each card put into your graveyard this way.<br>−11: Gain control of all nonland permanents until end of turn. Untap them. They gain haste until end of turn.<br>Dihada, Binder of Wills can be your commander.|Dominaria United Commander|Mythic||Néstor Ossandón Leal|1|MID: 580465<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dmc/1/dihada-binder-of-wills?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/ddeb54d6-a600-42b9-98df-20f8d58caed8.jpg?1685554091}
580466|Jared Carthalion|{W}{U}{B}{R}{G}|Legendary Planeswalker - Jared|||+1: Create a 3/3 Kavu creature token with trample that's all colors.<br>−3: Choose up to two target creatures. For each of them, put a number of +1/+1 counters on it equal to the number of colors it is.<br>−6: Return target multicolored card from your graveyard to your hand. If that card was all colors, draw a card and create two Treasure tokens.<br>Jared Carthalion can be your commander.|Dominaria United Commander|Mythic||Manuel Castañón|2|MID: 580466<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dmc/2/jared-carthalion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5acffa48-9e3f-4ba3-a55f-d459307f46df.jpg?1673304686}
580443|Jenson Carthalion, Druid Exile|{G}{W}|Legendary Creature - Human Druid|2|2|Whenever you cast a multicolored spell, scry 1. If that spell was all colors, create a 4/4 white Angel creature token with flying and vigilance.<br>{5}, {T}: Add {W}{U}{B}{R}{G}.|Dominaria United Commander|Mythic||Livia Prima|3|MID: 580443<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dmc/3/jenson-carthalion-druid-exile?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/a/6a67f32c-4c9a-4bda-92f4-037b99999777.jpg?1673304694}
580444|Shanid, Sleepers' Scourge|{1}{R}{W}{B}|Legendary Creature - Human Knight|2|4|Menace<br>Other legendary creatures you control have menace.<br>Whenever you play a legendary land or cast a legendary spell, you draw a card and you lose 1 life.|Dominaria United Commander|Mythic||Ryan Pancoast|4|MID: 580444<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/dmc/4/shanid-sleepers-scourge?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1b0fb859-055d-4aa1-814c-0894cd2ccd4a.jpg?1673304703}
580153|Zeriam, Golden Wind|{3}{W}|Legendary Creature - Griffin|3|4|Flying<br>Whenever a Griffin you control deals combat damage to a player, create a 2/2 white Griffin creature token with flying.|Dominaria United Commander|Rare||John Tedrick|5|MID: 580153<br>Finishes: nonfoil:<br>https://scryfall.com/card/dmc/5/zeriam-golden-wind?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e7efbb9a-e0b3-412c-9ee7-a90123033999.jpg?1673304711}
580154|Moira, Urborg Haunt|{2}{B}|Legendary Creature - Spirit Wizard|3|2|Menace<br>Whenever Moira deals combat damage to a player, return to the battlefield target creature card in your graveyard that was put there from the battlefield this turn.|Dominaria United Commander|Rare||Marta Nael|6|MID: 580154<br>Finishes: nonfoil:<br>https://scryfall.com/card/dmc/6/moira-urborg-haunt?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/a/0a5c9d99-8fbc-4a74-99a5-32ba71eb2b62.jpg?1673304720}
580155|Mana Cannons|{2}{R}|Enchantment|||Whenever you cast a multicolored spell, this enchantment deals X damage to any target, where X is the number of colors that spell is.|Dominaria United Commander|Rare||Sidharth Chaturvedi|7|MID: 580155<br>Finishes: nonfoil:<br>https://scryfall.com/card/dmc/7/mana-cannons?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5ba12cfc-36d3-4f9c-950e-3ed8b8f105fd.jpg?1673304729}
580156|The Reaver Cleaver|{2}{R}|Legendary Artifact - Equipment|||Equipped creature gets +1/+1 and has trample and "Whenever this creature deals combat damage to a player or planeswalker, create that many Treasure tokens."<br>Equip {3}|Dominaria United Commander|Rare||Yigit Koroglu|8|MID: 580156<br>Finishes: nonfoil:<br>https://scryfall.com/card/dmc/8/the-reaver-cleaver?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5bcd1591-b5b9-49fc-9f2a-45f31ed1871e.jpg?1673304737}
580157|Bladewing, Deathless Tyrant|{5}{B}{R}|Legendary Creature - Dragon Skeleton|6|6|Flying, haste<br>Whenever Bladewing deals combat damage to a player or planeswalker, for each creature card in your graveyard, create a 2/2 black Zombie Knight creature token with menace.|Dominaria United Commander|Rare||Antonio José Manzanedo|9|MID: 580157<br>Finishes: nonfoil:<br>https://scryfall.com/card/dmc/9/bladewing-deathless-tyrant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/d/7dcf3b3e-e986-4add-a3c6-4e92a6f72a12.jpg?1674174856}
580158|Cadric, Soul Kindler|{2}{R}{W}|Legendary Creature - Dwarf Wizard|4|3|The "legend rule" doesn't apply to tokens you control.<br>Whenever another nontoken legendary permanent you control enters, you may pay {1}. If you do, create a token that's a copy of it. That token gains haste. Sacrifice it at the beginning of the next end step.|Dominaria United Commander|Rare||Joseph Weston|10|MID: 580158<br>Finishes: nonfoil:<br>https://scryfall.com/card/dmc/10/cadric-soul-kindler?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f82f8cab-5039-4e3a-a2ba-cbf829db80ed.jpg?1673304745}
