ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
ce83a3cb-467d-44f6-a051-4855c8cf52a6|Argivian Archaeologist|{1}{W}{W}|Creature - Human Artificer|1|1|{W}{W}, {T}: Return target artifact card from your graveyard to your hand.|Antiquities|Rare||Amy Weber|1|MID: 1064<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/1/argivian-archaeologist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce83a3cb-467d-44f6-a051-4855c8cf52a6.jpg?1562938661}
5f604338-5ee4-4c47-ad5a-5c805c96c8de|Argivian Blacksmith|{1}{W}{W}|Creature - Human Artificer|2|2|{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.|Antiquities|Common||Kerstin Kaman|2|MID: 1065<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/2/argivian-blacksmith?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f604338-5ee4-4c47-ad5a-5c805c96c8de.jpg?1562914930}
b3a5101a-ec66-4658-950c-9ad49c29b836|Artifact Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't be blocked by artifact creatures.<br>Prevent all damage that would be dealt to enchanted creature by artifact sources.<br>Enchanted creature can't be the target of abilities from artifact sources.|Antiquities|Common||Douglas Shuler|3|MID: 1066<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/3/artifact-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b3a5101a-ec66-4658-950c-9ad49c29b836.jpg?1562932896}
22ebd5a3-fef8-4097-b038-89a6cb38227d|Circle of Protection: Artifacts|{1}{W}|Enchantment|||{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.|Antiquities|Uncommon||Pete Venters|4|MID: 1067<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/4/circle-of-protection:-artifacts?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/22ebd5a3-fef8-4097-b038-89a6cb38227d.jpg?1562902368}
12ab9836-bc90-4d92-a86d-b8e1b7671aa7|Damping Field|{2}{W}|Enchantment|||Players can't untap more than one artifact during their untap steps.|Antiquities|Uncommon||Justin Hampton|5|MID: 1068<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/5/damping-field?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12ab9836-bc90-4d92-a86d-b8e1b7671aa7.jpg?1562898915}
bde037b9-4947-4ff7-8ea4-e9f1a7e4ab88|Martyrs of Korlis|{3}{W}{W}|Creature - Human|1|6|As long as this creature is untapped, all damage that would be dealt to you by artifacts is dealt to this creature instead.|Antiquities|Uncommon||Margaret Organ-Kean|6|MID: 1069<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/6/martyrs-of-korlis?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bde037b9-4947-4ff7-8ea4-e9f1a7e4ab88.jpg?1562935113}
da7ed8ba-3886-4779-a9b3-6892a7ed3527|Reverse Polarity|{W}{W}|Instant|||You gain X life, where X is twice the damage dealt to you so far this turn by artifacts.|Antiquities|Common||Justin Hampton|7|MID: 1070<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/7/reverse-polarity?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/da7ed8ba-3886-4779-a9b3-6892a7ed3527.jpg?1562941146}
4be2aa3b-207b-4d21-abfb-6788520c7676|Drafna's Restoration|{U}|Sorcery|||Put any number of target artifact cards from target player's graveyard on top of their library in any order.|Antiquities|Common||Amy Weber|8|MID: 1037<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/8/drafnas-restoration?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4be2aa3b-207b-4d21-abfb-6788520c7676.jpg?1562910905}
bd1f624b-e8f2-462f-838a-7cb9e8fda988|Energy Flux|{2}{U}|Enchantment|||All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."|Antiquities|Uncommon||Kaja Foglio|9|MID: 1038<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/9/energy-flux?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd1f624b-e8f2-462f-838a-7cb9e8fda988.jpg?1562934930}
f32373dd-06d8-45d1-8777-3b1411bcb30a|Hurkyl's Recall|{1}{U}|Instant|||Return all artifacts target player owns to their hand.|Antiquities|Rare||NéNé Thomas|10|MID: 1041<br>Finishes: nonfoil:<br>https://scryfall.com/card/atq/10/hurkyls-recall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f32373dd-06d8-45d1-8777-3b1411bcb30a.jpg?1562946376}
