ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
168d7532-c925-4a96-a756-2ce4dd0fec33|Trynn, Champion of Freedom|{3}{W}|Legendary Creature - Human Soldier|3|3|Partner with Silvar, Devourer of the Free (When this creature enters, target player may put Silvar into their hand from their library, then shuffle.)<br>At the beginning of your end step, if you attacked this turn, create a 1/1 white Human Soldier creature token.<BR><a href="https://api.scryfall.com/cards/168d7532-c925-4a96-a756-2ce4dd0fec33/rulings">Rulings</a>|Commander 2020|Mythic||Jesper Ejsing|1|MID: 484708<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/1/trynn-champion-of-freedom?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484708&printed=false">Gatherer</a>|484708|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/168d7532-c925-4a96-a756-2ce4dd0fec33.jpg?1591234194}
16a86a35-f7e5-434d-bf44-61ae7cb0f98b|Haldan, Avid Arcanist|{2}{U}|Legendary Creature - Human Wizard|1|4|Partner with Pako, Arcane Retriever (When this creature enters, target player may put Pako into their hand from their library, then shuffle.)<br>You may play lands and cast noncreature spells from among cards you exiled that have fetch counters on them, and you may spend mana as though it were mana of any color to cast those spells.<BR><a href="https://api.scryfall.com/cards/16a86a35-f7e5-434d-bf44-61ae7cb0f98b/rulings">Rulings</a>|Commander 2020|Mythic||Manuel Castañón|2|MID: 484709<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/2/haldan-avid-arcanist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484709&printed=false">Gatherer</a>|484709|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/16a86a35-f7e5-434d-bf44-61ae7cb0f98b.jpg?1618057606}
00b9ac91-51e4-4653-ac2a-da166a894f2a|Nikara, Lair Scavenger|{2}{B}|Legendary Creature - Human Cleric|2|2|Partner with Yannik, Scavenging Sentinel (When this creature enters, target player may put Yannik into their hand from their library, then shuffle.)<br>Menace<br>Whenever another creature you control leaves the battlefield, if it had one or more counters on it, you draw a card and you lose 1 life.<BR><a href="https://api.scryfall.com/cards/00b9ac91-51e4-4653-ac2a-da166a894f2a/rulings">Rulings</a>|Commander 2020|Mythic||Grzegorz Rutkowski|3|MID: 484710<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/3/nikara-lair-scavenger?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484710&printed=false">Gatherer</a>|484710|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/0/00b9ac91-51e4-4653-ac2a-da166a894f2a.jpg?1591234210}
9b4fdcd5-5346-46a8-b1a4-84ddb74089e0|Brallin, Skyshark Rider|{3}{R}|Legendary Creature - Human Shaman|3|3|Partner with Shabraz, the Skyshark (When this creature enters, target player may put Shabraz into their hand from their library, then shuffle.)<br>Whenever you discard a card, put a +1/+1 counter on Brallin and it deals 1 damage to each opponent.<br>{R}: Target Shark gains trample until end of turn.<BR><a href="https://api.scryfall.com/cards/9b4fdcd5-5346-46a8-b1a4-84ddb74089e0/rulings">Rulings</a>|Commander 2020|Mythic||Paul Scott Canavan|4|MID: 484711<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/4/brallin-skyshark-rider?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484711&printed=false">Gatherer</a>|484711|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9b4fdcd5-5346-46a8-b1a4-84ddb74089e0.jpg?1591234217}
d5e857aa-06b7-4bce-b56d-6f6be5cfc77b|Cazur, Ruthless Stalker|{3}{G}|Legendary Creature - Human Warrior|3|3|Partner with Ukkima, Stalking Shadow (When this creature enters, target player may put Ukkima into their hand from their library, then shuffle.)<br>Whenever a creature you control deals combat damage to a player, put a +1/+1 counter on that creature.<BR><a href="https://api.scryfall.com/cards/d5e857aa-06b7-4bce-b56d-6f6be5cfc77b/rulings">Rulings</a>|Commander 2020|Mythic||Daarken|5|MID: 484712<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/5/cazur-ruthless-stalker?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484712&printed=false">Gatherer</a>|484712|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/5/d5e857aa-06b7-4bce-b56d-6f6be5cfc77b.jpg?1591234223}
23736c5f-bd1c-4505-8639-5fb92cd74b21|Akim, the Soaring Wind|{2}{U}{R}{W}|Legendary Creature - Bird Dinosaur|3|4|Flying<br>Whenever you create one or more tokens for the first time each turn, create a 1/1 white Bird creature token with flying.<br>{3}{U}{R}{W}: Creature tokens you control gain double strike until end of turn.<BR><a href="https://api.scryfall.com/cards/23736c5f-bd1c-4505-8639-5fb92cd74b21/rulings">Rulings</a>|Commander 2020|Mythic||Filip Burburan|6|MID: 484713<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/6/akim-the-soaring-wind?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484713&printed=false">Gatherer</a>|484713|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/23736c5f-bd1c-4505-8639-5fb92cd74b21.jpg?1591234230}
80bc07d5-bdbb-4a6d-8958-0c172ea80245|Gavi, Nest Warden|{2}{U}{R}{W}|Legendary Creature - Human Shaman|2|5|You may pay {0} rather than pay the cycling cost of the first card you cycle each turn.<br>Whenever you draw your second card each turn, create a 2/2 red and white Dinosaur Cat creature token.<BR><a href="https://api.scryfall.com/cards/80bc07d5-bdbb-4a6d-8958-0c172ea80245/rulings">Rulings</a>|Commander 2020|Mythic||Randy Vargas|7|MID: 484714<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/7/gavi-nest-warden?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484714&printed=false">Gatherer</a>|484714|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80bc07d5-bdbb-4a6d-8958-0c172ea80245.jpg?1591234237}
6e660d42-f5d3-452a-9662-74e18a1ae9e4|Jirina Kudro|{1}{R}{W}{B}|Legendary Creature - Human Soldier|3|3|When Jirina Kudro enters, create a 1/1 white Human Soldier creature token for each time you've cast a commander from the command zone this game.<br>Other Humans you control get +2/+0.<BR><a href="https://api.scryfall.com/cards/6e660d42-f5d3-452a-9662-74e18a1ae9e4/rulings">Rulings</a>|Commander 2020|Mythic||Magali Villeneuve|8|MID: 484715<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/8/jirina-kudro?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484715&printed=false">Gatherer</a>|484715|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6e660d42-f5d3-452a-9662-74e18a1ae9e4.jpg?1591234244}
f990cd78-2165-446f-a116-ae55d7a0f00d|Kalamax, the Stormsire|{1}{G}{U}{R}|Legendary Creature - Elemental Dinosaur|4|4|Whenever you cast your first instant spell each turn, if Kalamax is tapped, copy that spell. You may choose new targets for the copy.<br>Whenever you copy an instant spell, put a +1/+1 counter on Kalamax.<BR><a href="https://api.scryfall.com/cards/f990cd78-2165-446f-a116-ae55d7a0f00d/rulings">Rulings</a>|Commander 2020|Mythic||Nicholas Gregory|9|MID: 484716<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/9/kalamax-the-stormsire?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484716&printed=false">Gatherer</a>|484716|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f990cd78-2165-446f-a116-ae55d7a0f00d.jpg?1591234251}
ebc57f73-a517-463e-8d55-56aa996d091e|Kathril, Aspect Warper|{2}{W}{B}{G}|Legendary Creature - Nightmare Insect|3|3|When Kathril enters, put a flying counter on any creature you control if a creature card in your graveyard has flying. Repeat this process for first strike, double strike, deathtouch, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance. Then put a +1/+1 counter on Kathril for each counter put on a creature this way.<BR><a href="https://api.scryfall.com/cards/ebc57f73-a517-463e-8d55-56aa996d091e/rulings">Rulings</a>|Commander 2020|Mythic||Mathias Kollros|10|MID: 484717<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/c20/10/kathril-aspect-warper?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484717&printed=false">Gatherer</a>|484717|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/ebc57f73-a517-463e-8d55-56aa996d091e.jpg?1591946565}
