ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
fe2cdfa5-6712-42e0-a165-045d4e9773cc|Karn, Living Legacy // Karn, Living Legacy||Card||||Dominaria United Art Series|Common||Chris Rahn|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/1/karn-living-legacy-karn-living-legacy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fe2cdfa5-6712-42e0-a165-045d4e9773cc.jpg?1679961797, FLIPID=-fe2cdfa5-6712-42e0-a165-045d4e9773cc}
-fe2cdfa5-6712-42e0-a165-045d4e9773cc|Karn, Living Legacy // Karn, Living Legacy (art_series)||Card||||Dominaria United Art Series|Common||Chris Rahn|1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/1/karn-living-legacy-karn-living-legacy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/f/e/fe2cdfa5-6712-42e0-a165-045d4e9773cc.jpg?1679961797, FLIPID=fe2cdfa5-6712-42e0-a165-045d4e9773cc}
ba4efbcd-f71a-472c-8d7c-442450d0200d|Karn, Living Legacy // Karn, Living Legacy||Card||||Dominaria United Art Series|Common||rk post|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/2/karn-living-legacy-karn-living-legacy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba4efbcd-f71a-472c-8d7c-442450d0200d.jpg?1679961815, FLIPID=-ba4efbcd-f71a-472c-8d7c-442450d0200d}
-ba4efbcd-f71a-472c-8d7c-442450d0200d|Karn, Living Legacy // Karn, Living Legacy (art_series)||Card||||Dominaria United Art Series|Common||rk post|2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/2/karn-living-legacy-karn-living-legacy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/a/ba4efbcd-f71a-472c-8d7c-442450d0200d.jpg?1679961815, FLIPID=ba4efbcd-f71a-472c-8d7c-442450d0200d}
bcb0496d-da29-43ff-ae50-0e8d58ec054f|Argivian Phalanx // Argivian Phalanx||Card||||Dominaria United Art Series|Common||Josh Hass|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/3/argivian-phalanx-argivian-phalanx?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bcb0496d-da29-43ff-ae50-0e8d58ec054f.jpg?1679961829, FLIPID=-bcb0496d-da29-43ff-ae50-0e8d58ec054f}
-bcb0496d-da29-43ff-ae50-0e8d58ec054f|Argivian Phalanx // Argivian Phalanx (art_series)||Card||||Dominaria United Art Series|Common||Josh Hass|3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/3/argivian-phalanx-argivian-phalanx?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/c/bcb0496d-da29-43ff-ae50-0e8d58ec054f.jpg?1679961829, FLIPID=bcb0496d-da29-43ff-ae50-0e8d58ec054f}
78360b01-0041-46b3-83a3-063156f58fa1|Benalish Sleeper // Benalish Sleeper||Card||||Dominaria United Art Series|Common||Josu Hernaiz|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/4/benalish-sleeper-benalish-sleeper?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/78360b01-0041-46b3-83a3-063156f58fa1.jpg?1679961844, FLIPID=-78360b01-0041-46b3-83a3-063156f58fa1}
-78360b01-0041-46b3-83a3-063156f58fa1|Benalish Sleeper // Benalish Sleeper (art_series)||Card||||Dominaria United Art Series|Common||Josu Hernaiz|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/4/benalish-sleeper-benalish-sleeper?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/8/78360b01-0041-46b3-83a3-063156f58fa1.jpg?1679961844, FLIPID=78360b01-0041-46b3-83a3-063156f58fa1}
be263b4a-00e5-4acd-bce2-a9825b18d5a8|Cleaving Skyrider // Cleaving Skyrider||Card||||Dominaria United Art Series|Common||Joshua Raphael|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/5/cleaving-skyrider-cleaving-skyrider?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be263b4a-00e5-4acd-bce2-a9825b18d5a8.jpg?1679961860, FLIPID=-be263b4a-00e5-4acd-bce2-a9825b18d5a8}
-be263b4a-00e5-4acd-bce2-a9825b18d5a8|Cleaving Skyrider // Cleaving Skyrider (art_series)||Card||||Dominaria United Art Series|Common||Joshua Raphael|5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/admu/5/cleaving-skyrider-cleaving-skyrider?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/e/be263b4a-00e5-4acd-bce2-a9825b18d5a8.jpg?1679961860, FLIPID=be263b4a-00e5-4acd-bce2-a9825b18d5a8}
