ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
ecbeac44-9392-4522-8ff5-87079386bd0a|Highcliff Felidar|{5}{W}{W}|Creature - Cat Beast|5|5|Vigilance<br>When this creature enters, for each opponent, choose a creature with the greatest power among creatures that player controls. Destroy those creatures.<BR><a href="https://api.scryfall.com/cards/ecbeac44-9392-4522-8ff5-87079386bd0a/rulings">Rulings</a>|Game Night 2019|Mythic||Kimonas Theodossiou|1|F$ 3.05<br>MID: 476067<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn2/1/highcliff-felidar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476067&printed=false">Gatherer</a>|476067|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ecbeac44-9392-4522-8ff5-87079386bd0a.jpg?1576267130}
0faa9eea-fbf1-41f7-9def-1ec3d5134a53|Sphinx of Enlightenment|{4}{U}{U}|Creature - Sphinx|5|5|Flying<br>When this creature enters, target opponent draws a card and you draw three cards.<BR><a href="https://api.scryfall.com/cards/0faa9eea-fbf1-41f7-9def-1ec3d5134a53/rulings">Rulings</a>|Game Night 2019|Mythic||Johan Grenier|2|F$ 0.84<br>MID: 476068<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn2/2/sphinx-of-enlightenment?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476068&printed=false">Gatherer</a>|476068|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0faa9eea-fbf1-41f7-9def-1ec3d5134a53.jpg?1576267137}
17b2ed72-d0f0-4d8d-bb5e-dce08d157466|Calculating Lich|{4}{B}{B}|Creature - Zombie Wizard|5|5|Menace<br>Whenever a creature attacks one of your opponents, that player loses 1 life.<BR><a href="https://api.scryfall.com/cards/17b2ed72-d0f0-4d8d-bb5e-dce08d157466/rulings">Rulings</a>|Game Night 2019|Mythic||Antonio José Manzanedo|3|F$ 1.27<br>MID: 476069<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn2/3/calculating-lich?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476069&printed=false">Gatherer</a>|476069|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/17b2ed72-d0f0-4d8d-bb5e-dce08d157466.jpg?1576267142}
acb3ce9b-ee4f-410a-8db3-e87aeb0a4444|Fiendish Duo|{4}{R}{R}|Creature - Devil|5|5|First strike (This creature deals combat damage before creatures without first strike.)<br>If a source would deal damage to an opponent, it deals double that damage to that player instead.<BR><a href="https://api.scryfall.com/cards/acb3ce9b-ee4f-410a-8db3-e87aeb0a4444/rulings">Rulings</a>|Game Night 2019|Mythic||Lucas Graciano|4|F$ 2.24<br>MID: 476070<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn2/4/fiendish-duo?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476070&printed=false">Gatherer</a>|476070|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/acb3ce9b-ee4f-410a-8db3-e87aeb0a4444.jpg?1576267148}
dbcdbf7a-9294-47ad-9f93-c16b78c7463a|Earthshaker Giant|{4}{G}{G}|Creature - Giant Druid|6|6|Trample<br>When this creature enters, other creatures you control get +3/+3 and gain trample until end of turn.<BR><a href="https://api.scryfall.com/cards/dbcdbf7a-9294-47ad-9f93-c16b78c7463a/rulings">Rulings</a>|Game Night 2019|Mythic||Milivoj Ćeran|5|F$ 2.34<br>MID: 476071<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/gn2/5/earthshaker-giant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476071&printed=false">Gatherer</a>|476071|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/dbcdbf7a-9294-47ad-9f93-c16b78c7463a.jpg?1576267153}
6193e89a-7108-4f2b-8570-164904d4b11f|Consul's Lieutenant|{W}{W}|Creature - Human Soldier|2|1|First strike<br>Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)<br>Whenever this creature attacks, if it's renowned, other attacking creatures you control get +1/+1 until end of turn.<BR><a href="https://api.scryfall.com/cards/6193e89a-7108-4f2b-8570-164904d4b11f/rulings">Rulings</a>|Game Night 2019|Uncommon||Daarken|6|R$ 0.12 <br>MID: 476072<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn2/6/consuls-lieutenant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476072&printed=false">Gatherer</a>|476072|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/6193e89a-7108-4f2b-8570-164904d4b11f.jpg?1576267158}
0cf7800a-ff70-4308-b3a2-1ea48e53a1f8|Fiend Binder|{3}{W}|Creature - Human Soldier|3|2|Whenever this creature attacks, tap target creature defending player controls.<BR><a href="https://api.scryfall.com/cards/0cf7800a-ff70-4308-b3a2-1ea48e53a1f8/rulings">Rulings</a>|Game Night 2019|Common||David Gaillet|7|R$ 0.03 <br>MID: 476073<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn2/7/fiend-binder?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476073&printed=false">Gatherer</a>|476073|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0cf7800a-ff70-4308-b3a2-1ea48e53a1f8.jpg?1576267164}
b861a011-ec5a-471f-b2a3-d8af52af07b4|Kytheon's Irregulars|{2}{W}{W}|Creature - Human Soldier|4|3|Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)<br>{W}{W}: Tap target creature.<BR><a href="https://api.scryfall.com/cards/b861a011-ec5a-471f-b2a3-d8af52af07b4/rulings">Rulings</a>|Game Night 2019|Rare||Mark Winters|8|R$ 0.22 <br>MID: 476074<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn2/8/kytheons-irregulars?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476074&printed=false">Gatherer</a>|476074|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b861a011-ec5a-471f-b2a3-d8af52af07b4.jpg?1576267169}
f0f53a0a-8d12-4271-afaf-7445573a4296|Mighty Leap|{1}{W}|Instant|||Target creature gets +2/+2 and gains flying until end of turn.<BR><a href="https://api.scryfall.com/cards/f0f53a0a-8d12-4271-afaf-7445573a4296/rulings">Rulings</a>|Game Night 2019|Common||Sidharth Chaturvedi|9|MID: 476075<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn2/9/mighty-leap?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476075&printed=false">Gatherer</a>|476075|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0f53a0a-8d12-4271-afaf-7445573a4296.jpg?1576267175}
b251797c-8ba7-4011-ad6d-a67f2aabb7d3|Patron of the Valiant|{3}{W}{W}|Creature - Angel|4|4|Flying<br>When this creature enters, put a +1/+1 counter on each creature you control with a +1/+1 counter on it.<BR><a href="https://api.scryfall.com/cards/b251797c-8ba7-4011-ad6d-a67f2aabb7d3/rulings">Rulings</a>|Game Night 2019|Uncommon||Steve Argyle|10|R$ 0.17 <br>MID: 476076<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/gn2/10/patron-of-the-valiant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=476076&printed=false">Gatherer</a>|476076|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b251797c-8ba7-4011-ad6d-a67f2aabb7d3.jpg?1576267181}
