ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
927580e6-353a-46bb-ac05-52a5fa78a959|Soldier||Token Creature - Soldier|1|1||Shards of Alara Tokens|Common||Alan Pollack|1|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/1/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/927580e6-353a-46bb-ac05-52a5fa78a959.jpg?1562636791}
3546df95-926d-421d-a763-e559a1847273|Homunculus||Token Artifact Creature - Homunculus|0|1||Shards of Alara Tokens|Common||Howard Lyon|2|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/2/homunculus?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/3546df95-926d-421d-a763-e559a1847273.jpg?1562636720}
52510a8b-a5a2-421b-a8b4-5ab60c848628|Thopter||Token Artifact Creature - Thopter|1|1|Flying|Shards of Alara Tokens|Common||Andrew Murray|3|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/3/thopter?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/52510a8b-a5a2-421b-a8b4-5ab60c848628.jpg?1562636750}
6894192e-782b-49ef-b9fc-28b76e2268ab|Skeleton||Token Creature - Skeleton|1|1|{B}: Regenerate this creature.|Shards of Alara Tokens|Common||Thomas M. Baxa|4|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/4/skeleton?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/6894192e-782b-49ef-b9fc-28b76e2268ab.jpg?1562636766}
ba9b6612-5372-4e6f-841f-20009f71a736|Zombie||Token Creature - Zombie|2|2||Shards of Alara Tokens|Common||Dave Kendall|5|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/5/zombie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba9b6612-5372-4e6f-841f-20009f71a736.jpg?1562636838}
cbb3e91d-9cae-49c8-ba92-087ad8171b9d|Dragon||Token Creature - Dragon|4|4|Flying|Shards of Alara Tokens|Common||Vance Kovacs|6|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/6/dragon?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cbb3e91d-9cae-49c8-ba92-087ad8171b9d.jpg?1562636854}
2b2b01b8-3dcb-4eab-9402-0db343543c38|Goblin||Token Creature - Goblin|1|1||Shards of Alara Tokens|Common||Brandon Kitkouski|7|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/7/goblin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2b2b01b8-3dcb-4eab-9402-0db343543c38.jpg?1562636718}
39a4b6d1-c5f5-4a2d-a00c-97f6395c941b|Ooze||Token Creature - Ooze|*|*||Shards of Alara Tokens|Common||Anthony S. Waters|8|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/8/ooze?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/39a4b6d1-c5f5-4a2d-a00c-97f6395c941b.jpg?1562636722}
622759a9-e68b-48c1-8e03-beaab0a52556|Saproling||Token Creature - Saproling|1|1||Shards of Alara Tokens|Common||Trevor Claxton|9|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/9/saproling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/622759a9-e68b-48c1-8e03-beaab0a52556.jpg?1562636758}
a7382e4b-43dc-4b35-8a9e-ab886ea0a981|Beast||Token Creature - Beast|8|8||Shards of Alara Tokens|Common||Paolo Parente|10|Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tala/10/beast?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7382e4b-43dc-4b35-8a9e-ab886ea0a981.jpg?1562636807}
